,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
365,waddan,0,LY,1665350311,36,29.1614,16.139,73.56,8.25
366,haines junction,99,CA,1665350312,30,60.7522,-137.5108,53.55,17.27
367,ixtapa,0,MX,1665350312,66,20.7,-105.2,89.22,9.22
368,hanting,8,CN,1665350312,45,36.7708,119.2108,45.14,13.31
369,siilinjarvi,0,FI,1665350312,70,63.0833,27.6667,44.62,11.5
370,hailar,10,CN,1665350312,60,49.2,119.7,26.55,3.96
371,belaya gora,100,RU,1665350312,79,68.5333,146.4167,21.4,7.02
372,tessalit,4,ML,1665350313,15,20.1986,1.0114,89.28,10.47
373,nemuro,100,JP,1665350313,75,43.3236,145.575,56.26,24.54
374,katangli,11,RU,1665350313,77,51.7102,143.2326,35.06,7.43
375,esmeraldas,100,BR,1665350313,68,-19.7625,-44.3139,79.66,2.44
376,grand gaube,80,MU,1665350313,70,-20.0064,57.6608,71.38,5.99
377,nantucket,0,US,1665350313,61,41.2835,-70.0995,60.91,18.41
378,san jacinto,8,US,1665350313,33,33.7839,-116.9586,91.99,10.0
379,cerrito,99,CO,1665350313,94,6.8432,-72.694,56.53,1.7
380,tremedal,1,BR,1665350314,28,-14.9758,-41.4108,85.1,10.65
381,abonnema,100,NG,1665350314,89,4.7084,6.7931,76.89,4.09
382,xingtai,0,CN,1665350314,36,37.0631,114.4942,45.16,4.32
383,codrington,100,AU,1665350080,84,-38.2667,141.9667,43.7,6.2
384,morro bay,17,US,1665350314,41,35.3658,-120.8499,93.4,5.01
385,methoni,6,GR,1665350314,75,36.8197,21.7049,68.22,8.19
386,chitral,0,PK,1665350315,59,35.8462,71.7858,61.74,2.13
387,mizan teferi,99,ET,1665350315,94,6.9833,35.5833,58.8,3.36
388,piranhas,92,BR,1665350315,69,-16.4269,-51.8222,78.21,13.38
389,aripuana,67,BR,1665350079,38,-9.1667,-60.6333,92.41,3.36
390,abbeville,70,FR,1665350315,70,50.1,1.8333,49.96,7.45
391,shelburne,100,CA,1665350315,64,44.0787,-80.2041,54.75,9.69
392,taoudenni,39,ML,1665350315,12,22.6783,-3.9836,99.25,5.35
393,seoul,75,KR,1665350316,69,37.5683,126.9778,51.4,11.5
394,leshukonskoye,71,RU,1665350316,83,64.8989,45.7622,42.67,8.19
395,jizan,8,SA,1665350316,66,17.3333,42.6667,83.34,1.79
396,taunggyi,50,MM,1665350316,95,20.7833,97.0333,60.57,1.74
397,kutum,89,SD,1665350316,23,14.2,24.6667,78.08,8.12
398,biskamzha,100,RU,1665350316,91,53.4497,89.5272,42.24,7.31
399,vila,100,PT,1665350081,89,42.0304,-8.1588,51.69,3.6
400,cockburn town,1,TC,1665350317,78,21.4612,-71.1419,81.97,18.37
401,narsaq,100,GL,1665350317,96,60.9167,-46.05,39.42,12.55
402,flinders,82,AU,1665350317,89,-34.5833,150.8552,55.18,4.0
403,kyzyl-suu,55,KG,1665350317,63,42.3414,78.0056,46.44,1.39
404,padre bernardo,82,BR,1665350317,53,-15.35,-48.5,80.46,6.29
405,ingham,14,US,1665350317,50,42.6,-84.3833,64.87,14.05
406,mitu,93,CO,1665350318,68,1.1983,-70.1733,83.14,0.92
407,vanavara,96,RU,1665350318,97,60.34,102.2797,33.75,2.35
408,lanxi,17,CN,1665350318,70,29.2195,119.477,49.26,4.38
409,tiznit,1,MA,1665350318,76,29.5833,-9.5,70.36,1.54
410,deputatskiy,96,RU,1665350318,94,69.3,139.9,10.49,5.06
411,marovoay,0,MG,1665350319,57,-16.1,46.6333,72.7,7.54
412,saint anthony,75,US,1665350319,41,45.0205,-93.218,70.12,5.75
413,manadhoo,10,MV,1665350319,81,5.7667,73.3833,80.56,13.8
414,nyaunglebin,100,MM,1665350319,96,17.95,96.7333,74.28,1.86
415,tromso,75,NO,1665350320,75,69.6496,18.957,42.82,12.66
416,san borja,84,BO,1665350320,65,-14.8167,-66.85,83.48,3.27
417,calvinia,96,ZA,1665350320,24,-31.4707,19.776,69.89,7.36
418,miraflores,97,MX,1665350320,74,19.2167,-98.8083,66.96,6.15
419,alice,75,US,1665350320,45,27.7523,-98.0697,87.49,16.11
420,bang saphan,100,TH,1665350320,93,11.2126,99.5117,74.93,4.05
421,oume,100,JP,1665350320,93,35.7839,139.2431,58.24,0.0
422,humaita,87,BR,1665350321,31,-7.5061,-63.0208,95.76,4.29
423,curuca,15,BR,1665350321,80,-0.7289,-47.8481,79.18,7.05
424,kjollefjord,75,NO,1665350321,87,70.9457,27.3465,44.65,19.57
425,padang,100,ID,1665350321,79,-0.9492,100.3543,73.45,3.56
426,dragoman,99,BG,1665350321,78,42.9189,22.9317,51.91,1.83
427,leo,84,BF,1665350321,70,11.1,-2.1,78.26,7.11
428,troitsko-pechorsk,100,RU,1665350322,94,62.7084,56.1964,46.78,8.46
429,pringsewu,100,ID,1665350070,91,-5.3582,104.9744,73.4,3.62
430,severnyy,0,RU,1665350322,82,50.677,36.5532,55.44,2.24
431,calizo,100,PH,1665350322,96,11.5819,122.3857,74.98,1.99
432,derzhavinsk,7,KZ,1665350322,59,51.1,66.3167,44.11,7.0
433,ostroleka,8,PL,1665350046,75,53.0862,21.5757,40.93,2.71
434,metro,100,ID,1665350323,90,-5.1131,105.3067,74.37,5.1
435,lavumisa,65,SZ,1665350323,77,-27.31,31.892,72.12,10.09
436,baghdad,40,IQ,1665350323,36,33.3406,44.4009,80.51,11.5
437,waikuku,2,NZ,1665350323,62,-43.3,172.6833,60.04,11.86
438,katherine,91,AU,1665350323,83,-14.4667,132.2667,73.72,5.75
439,takoradi,43,GH,1665350323,89,4.8845,-1.7554,76.53,6.06
440,tsumeb,4,NA,1665350324,13,-19.2333,17.7167,78.26,7.27
441,humberto de campos,65,BR,1665350324,73,-2.5983,-43.4611,81.0,9.78
442,nizhnyaya omka,92,RU,1665350324,66,55.4338,74.9426,44.76,9.69
443,baft,0,IR,1665350324,20,29.234,56.6057,52.75,4.23
444,la ligua,0,CL,1665350324,48,-32.4524,-71.2311,65.1,7.29
445,komsomolskiy,33,UZ,1665350324,50,40.4272,71.7189,56.12,4.61
446,kalmar,0,SE,1665350325,93,56.6616,16.3616,51.96,5.75
447,volchansk,100,RU,1665350325,81,59.9378,60.081,47.25,9.8
448,yulara,5,AU,1665350325,26,-25.2406,130.9889,57.34,8.16
449,ucluelet,50,CA,1665350325,77,48.9329,-125.5528,71.91,4.0
450,cap malheureux,79,MU,1665350325,70,-19.9842,57.6142,71.47,5.99
451,fairview,0,US,1665350326,43,40.8126,-73.999,63.43,17.27
452,savannah bight,100,HN,1665350326,81,16.45,-85.85,81.9,20.94
453,bergama,85,TR,1665350326,62,39.1207,27.1805,59.52,6.73
454,yakuplu,0,TR,1665350327,82,40.9889,28.6758,58.35,3.44
455,kununurra,75,AU,1665350327,83,-15.7667,128.7333,76.98,0.0
456,kiunga,100,PG,1665350327,99,-6.1219,141.2906,73.62,0.6
457,novo aripuana,83,BR,1665350327,24,-5.1206,-60.3797,99.48,1.63
458,rio tercero,0,AR,1665350328,11,-32.173,-64.1141,67.44,10.33
459,firozabad,100,IN,1665350328,97,27.15,78.4167,71.71,9.4
460,maceio,40,BR,1665350326,83,-9.6658,-35.7353,78.24,8.05
461,sun valley,75,US,1665350328,20,39.5963,-119.776,80.82,16.11
462,japura,100,ID,1665350328,93,-0.3167,102.35,72.91,2.35
463,iwanai,100,JP,1665350328,98,42.9744,140.5089,54.91,8.75
464,zhigansk,96,RU,1665350076,96,66.7697,123.3711,25.18,9.28
465,grindavik,75,IS,1665350328,70,63.8424,-22.4338,39.67,21.85
466,sinegorye,54,RU,1665350328,88,62.0788,150.477,1.92,5.32
467,puerto del rosario,20,ES,1665350274,83,28.5004,-13.8627,73.15,16.11
468,tarakan,100,ID,1665350329,86,3.3,117.6333,77.36,5.12
469,deqing,4,CN,1665350329,68,30.5448,119.9599,47.26,5.44
470,imbituva,84,BR,1665350329,77,-25.23,-50.6044,68.23,1.81
471,columbus,0,US,1665350329,33,39.9612,-82.9988,64.92,12.66
472,sao jose da coroa grande,100,BR,1665350329,85,-8.8978,-35.1478,77.27,9.71
473,bathsheba,40,BB,1665350329,83,13.2167,-59.5167,83.01,8.05
474,aloleng,1,PH,1665350329,84,16.1307,119.7824,78.69,6.08
475,auki,17,SB,1665350329,73,-8.7676,160.7034,80.87,2.35
476,anchorage,100,US,1665350330,90,61.2181,-149.9003,40.95,16.11
477,dalvik,100,IS,1665350330,99,65.9702,-18.5286,37.33,18.84
478,uglovskoye,100,RU,1665350330,76,51.3557,80.1942,46.85,12.39
479,ihosy,0,MG,1665350330,75,-22.4,46.1167,61.45,5.61
480,porto walter,59,BR,1665350331,38,-8.2686,-72.7439,90.72,3.69
481,maracacume,59,BR,1665350331,76,-2.0428,-45.9592,80.49,3.56
482,illapel,1,CL,1665350248,43,-31.6308,-71.1653,69.01,8.43
483,sorland,100,NO,1665350331,90,67.667,12.6934,49.86,28.97
484,peace river,40,CA,1665350331,32,56.2501,-117.286,71.91,19.57
485,la brea,100,HN,1665350331,88,15.8,-85.9667,76.51,10.36
486,palmer,40,US,1665350331,50,42.1584,-72.3287,61.97,8.05
487,umea,0,SE,1665350318,81,63.8284,20.2597,46.9,4.61
488,banda aceh,97,ID,1665350332,84,5.5577,95.3222,77.94,7.87
489,pinsk,3,BY,1665350245,81,52.1229,26.0951,44.4,6.29
490,tabuk,11,PH,1665350332,91,17.4189,121.4443,70.75,2.75
491,mayumba,91,GA,1665350332,91,-3.432,10.6554,76.68,7.11
492,champerico,90,GT,1665350332,73,14.3,-91.9167,88.34,3.56
493,tateyama,100,JP,1665350333,90,34.9833,139.8667,66.99,4.99
494,udachnyy,94,RU,1665350333,98,66.4167,112.4,10.98,5.73
495,carutapera,22,BR,1665350333,84,-1.195,-46.02,78.82,8.93
496,sao felix do xingu,85,BR,1665350333,40,-6.6447,-51.995,87.71,2.46
497,mariinskiy posad,44,RU,1665350333,79,56.115,47.718,50.94,9.89
498,abay,54,KZ,1665350333,87,49.6311,72.8539,41.38,7.81
499,kaeo,100,NZ,1665350071,86,-35.1,173.7833,60.33,10.78
500,lasa,100,IT,1665350334,96,46.6166,10.7002,56.28,4.16
501,nguru,22,NG,1665350334,21,12.8791,10.4526,86.95,9.57
502,mana,28,GF,1665350334,81,5.6592,-53.7767,81.09,10.78
503,athabasca,100,CA,1665350335,29,54.7169,-113.2854,68.41,10.98
504,mogadishu,46,SO,1665350093,87,2.0371,45.3438,77.05,14.99
505,marzuq,4,YE,1665350335,60,14.4,46.4667,71.87,4.07
506,zhezkazgan,0,KZ,1665350335,56,47.8043,67.7144,44.33,4.81
507,paamiut,100,GL,1665350335,91,61.994,-49.6678,39.24,19.69
508,ishigaki,75,JP,1665350336,78,24.3448,124.1572,77.13,18.41
509,matara,12,LK,1665350336,90,5.9485,80.5353,76.48,7.65
510,ploemeur,100,FR,1665350336,85,47.7333,-3.4333,62.82,5.75
511,hambantota,24,LK,1665350336,85,6.1241,81.1185,77.94,10.6
512,chapais,88,CA,1665350336,86,49.7834,-74.8492,37.18,10.27
513,aasiaat,100,GL,1665350336,66,68.7098,-52.8699,22.53,15.23
514,ahipara,100,NZ,1665350078,67,-35.1667,173.1667,61.03,9.64
515,viedma,3,AR,1665350108,31,-40.8135,-62.9967,60.49,10.38
516,praia,40,CV,1665350065,73,14.9215,-23.5087,79.34,14.97
517,ada,0,US,1665350337,27,43.4166,-116.1262,76.23,8.01
518,tukrah,0,LY,1665350337,59,32.5341,20.5791,70.75,6.58
519,husavik,100,IS,1665350337,98,66.0449,-17.3389,35.91,41.18
520,shimoda,100,JP,1665350337,92,34.6667,138.95,62.1,4.38
521,rio grande,4,BR,1665350337,54,-32.035,-52.0986,59.11,9.64
522,ville-marie,89,CA,1665350337,67,47.3335,-79.433,37.51,8.39
523,jalu,0,LY,1665350083,42,29.0331,21.5482,71.28,6.17
524,abilene,0,US,1665350338,31,32.4487,-99.7331,84.42,8.05
525,klaksvik,61,FO,1665350072,83,62.2266,-6.589,47.32,37.47
526,harer,28,ET,1665350338,76,9.3094,42.1258,59.09,2.53
527,menongue,81,AO,1665350338,22,-14.6585,17.691,68.65,5.88
528,sisimiut,100,GL,1665350338,74,66.9395,-53.6735,26.02,7.45
529,plettenberg bay,20,ZA,1665350338,79,-34.0527,23.3716,60.13,3.94
530,goedereede,32,NL,1665350339,78,51.8175,3.9806,53.06,1.01
531,alice springs,4,AU,1665350072,45,-23.7,133.8833,44.15,0.0
532,vao,100,NC,1665350339,78,-22.6667,167.4833,73.26,21.54
533,raudeberg,91,NO,1665350339,49,61.9875,5.1352,52.95,43.66
534,manavalakurichi,100,IN,1665350339,88,8.1333,77.3,77.4,11.63
535,idenao,82,CM,1665350340,90,4.2475,9.0047,76.66,2.66
536,ketchikan,100,US,1665350340,94,55.3422,-131.6461,55.87,18.41
537,teeli,99,RU,1665350340,50,51.0333,90.2333,35.33,1.81
538,shingu,95,JP,1665350340,92,33.7333,135.9833,69.06,2.98
539,methven,100,NZ,1665350340,64,-43.6333,171.65,55.36,10.36
540,grand-santi,89,GF,1665350070,87,4.25,-54.3833,76.69,4.16
541,chuy,94,UY,1665350078,62,-33.6971,-53.4616,54.0,7.81
542,esna,0,EG,1665350342,34,25.2934,32.554,77.05,14.94
543,shu,6,KZ,1665350342,45,43.5983,73.7614,47.41,3.36
544,marrakesh,40,MA,1665350130,57,31.6315,-8.0083,75.27,10.36
545,dunmore town,24,BS,1665350343,72,25.5,-76.65,82.96,11.3
546,iquique,27,CL,1665350120,69,-20.2208,-70.1431,64.44,3.15
547,akdepe,0,TM,1665350343,38,42.0551,59.3788,50.09,12.41
548,lagos,100,NG,1665350214,86,6.5833,3.75,77.32,1.12
549,krasnoselkup,85,RU,1665350344,93,65.7,82.4667,37.27,11.23
550,koplik,71,AL,1665350344,70,42.2136,19.4364,59.38,3.42
551,dudinka,100,RU,1665350344,99,69.4058,86.1778,34.66,13.47
